PENJUALAN_2021;PENJUALAN_2020;RATIO_BEBAN-PENJUALAN_2021;RATIO_BEBAN-PENJUALAN_2020;SUMBER_LABA_UTAMA_2021;SUMBER_LABA_UTAMA_2020;LABA_RUGI_2021;LABA_RUGI_2020;LIABILITAS_2021;LIABILITAS_2020;ASET_2021;ASET_2020;KAS_2021;KAS_2020;Performa
149207164;136533758;0,868179851;0,855825664;Bidang usaha;Bidang usaha;87607042,61;73173580,71;20792734;84451989;195406981;183660291;2523754;11437529;baik
88706100;85686167;0,978566736;0,731139801;Bidang Lainnya;Bidang Usaha;56371242,72;48356515,98;24472651;98329359;174655998;199015767;30930175;36333943;buruk
108887378;78405829;0,060155139;0,080935538;Bidang Usaha;Bidang Usaha;48611150,54;39908732,85;20586078;67450502;182547662;177529646;194345;10186417;baik
133103033;120427245;0,53161329;0,989462669;Bidang Usaha;Bidang Usaha;36119898,81;4587487,935;26786479;79683551;190119809;185314245;24602549;30149281;baik
136475517;86949433;0,229926543;0,162016308;Bidang Lainnya;Bidang Lainnya;57734181,32;49354911,14;33833705;96559757;196396280;195426775;4836727;11705490;buruk
117591684;96478934;0,519376993;0,660885481;Bidang usaha;Bidang usaha;21539544,38;4328320,319;21977440;58498050;190926650;182901681;13546277;20701195;baik
132223675;92138953;0,356094473;0,662673299;Bidang usaha;Bidang usaha;73239580,58;-1426720,073;25439188;65742975;185209548;178647932;28125786;35294379;baik
73769482;61900187;0,945388422;0,729088916;Bidang Usaha;Bidang Usaha;29641596,57;20211090,84;32867499;75559258;172385981;194727486;7915602;13510331;baik
148323705;77079306;0,110530506;0,8560198;Bidang Usaha;Bidang Usaha;31788919,85;-7678400,084;40959514;93651420;181190795;170249670;4857750;10490352;baik
137256442;91840338;0,763359299;0,504563567;Bidang Lainnya;Bidang Lainnya;12393475,79;2095317,214;42451994;91218284;182516115;192241816;12739247;19171525;buruk
84201499;74215228;0,136784682;0,582067192;Bidang Usaha;Bidang Usaha;22520547;-19863003,6;29493773;63143483;190691472;197326487;11501637;19807936;baik
75721265;72730155;0,273176485;0,566439766;Bidang Usaha;Bidang Usaha;22432923,83;-18465486,66;46606309;96624019;187526138;197871142;26493694;36398080;baik
123631400;102723756;0,501984014;0,791852855;Bidang Usaha;Bidang Usaha;83029768,24;9259710,931;40941717;83935563;176295497;196498307;3465274;13197162;baik
88408291;78704707;0,262490631;0,86078452;Bidang usaha;Bidang usaha;43522917,65;17069345,25;31601373;64259486;187273168;190422147;6400736;13845542;baik
72826862;66763066;0,65553747;0,507182597;Bidang Usaha;Bidang Usaha;28079211,49;20514555,92;31550037;63700312;191861652;173002731;16822784;23673885;baik
139135103;130944108;0,073713768;0,966856024;Bidang Usaha;Bidang Usaha;88747997,39;47468961,46;38515931;75532686;173114249;177168666;11586460;16598029;baik
